"address","latitude","longitude"
"Jalan Kukoh Food Centre Blk 1, Jalan Kukoh, S(161001)","1.2882538","103.8398854"
"Jurong West 505 Market & Food Centre 505 Jurong West Street 52, Singapore 640505","1.3498657","103.7181654"
"Kallang Estate Market 17, Old Airport Road, S(397972)","1.3074316","103.8841373"
"Kampung Admiralty Hawker Centre 676 Woodlands Drive 71","1.4398741","103.7980712"
"Kebun Baru Market and Food Centre 226H Ang Mo Kio Street 22, Singapore 568226","1.367223","103.8400279"
"Kim Keat Palm Market and Food Centre 22 Lor 7 Toa Payoh, Singapore 310022","1.335365","103.8569972"
"Kovan 209 Market & Food Centre 209 Hougang St 21, Singapore 530209","1.359092","103.886095"
"Lau Pa Sat 18 Raffles Quay","1.2805121","103.8478006"
"MacPherson Market & Food Centre 89 Circuit Rd, Singapore 370089","1.3234464","103.8854024"
"Market Street Hawker Centre 86, Market Street, S(048947)","1.2849619","103.8502058"
"Marsiling Lane Food Centre 20 Marsiling Ln, Singapore 730020","1.4434601","103.7768783"
"Marsiling Mall Hawker Centre 4, Woodlands Street 12","1.4335076","103.7798639"
"Maxwell Food Centre 1, Kadayanallur Street","1.2803361","103.844767"
"Mei Ling Market & Food Centre 159 Mei Chin Rd, Singapore 140159","1.2932672","103.8028827"
"Newton Food Centre 500, Clemenceau Ave North, S(229495)","1.3119097","103.8393033"
"North Bridge Road Market & Food Centre 861, North Bridge Road, S(198783)","1.3058333","103.8638889"
"Old Airport Road Food Centre 51 Old Airport Rd","1.3082405","103.8858445"
"Pasir Panjang Food Centre 121, Pasir Panjang Road, S(118543)","1.27598","103.7912552"
"Pasir Ris Central Hawker Centre 110 Pasir Ris Central","1.373373","103.9516601"
"Pek Kio Market & Food Centre 41A Cambridge Rd, Singapore 211041","1.3162195","103.8502213"
"People Park Food Centre 32 New Market Rd, Singapore 050032","1.2849976","103.8425556"
"Redhill Food Centre 85 Redhill Ln, Singapore 150085","1.287294","103.8181829"
"Sembawang Hills Food Centre 590, Upper Thomson Road","1.3722883","103.8290075"
"Senja Hawker Centre 2 Senja Cl","1.3871787","103.7584912"
"Serangoon Garden Market 49A, Serangoon Garden Way, S(555945)","1.363257","103.8665724"
"Shunfu Mart 320 Shunfu Rd, Singapore 570320","1.35198","103.8371171"
"Sims Vista Market & Food Centre 49 Sims Pl, Singapore 380049","1.3170399","103.8793642"
"Taman Jurong Market & Food Centre 3, Yung Sheng Road, S(618499)","1.3346605","103.7215524"
"Tampines Street 11, Tampines Round Market & Food Centre, Singapore","1.3458571","103.9446779"
"Tanjong Pagar Plaza Market & Food Centre 6 Tanjong Pagar Plz, Singapore 081006","1.2765639","103.8431083"
"Teban Gardens Food Centre 37A Teban Gardens Road 601037","1.3208233","103.7402137"
"Teck Ghee Court 341 Ang Mo Kio Ave 1 Singapore 560341","1.3640365","103.8480712"
"Telok Blangah Crescent Market & Food Centre 11 Telok Blangah Cres, Singapore 090011","1.277271","103.8187789"
"Telok Blangah Food Centre 79 Telok Blangah Dr, Singapore 100079","1.2734242","103.8076386"
"Telok Blangah Rise Market & Food Centre 36 Telok Blangah Rise, Singapore 090036","1.2724581","103.821933"
"The Bedok Marketplace 348 Bedok Rd, Level 2, Singapore 469560","1.3314727","103.9482591"
"The Marketplace @ 58 58 New Upper Changi Rd, Singapore 461058","1.3239638","103.9410705"
"Tiong Bahru Food Centre, Seng Poh Road, S(168898)","1.2851311","103.8324041"
"Toa Payoh Lorong 4 Blk 93 Market and Hawker Centre 93 Lor 4 Toa Payoh, Singapore 310093","1.3385059","103.8496348"
"Toa Payoh Lorong 8 Market & Hawker Centre 210 Lor 8 Toa Payoh, Singapore 310210","1.3402645","103.8544216"
"Toa Payoh West Market & Food Centre 127 Lor 1 Toa Payoh, Singapore 310127","1.3381303","103.8447281"
"Upper Boon Keng Market & Food  17 Upper Boon Keng Rd, Singapore 380017","1.315045","103.8717212"
"West Coast Market Square 726 Clementi West Street 2, Singapore 120726","1.3037847","103.7642661"
"Yishun Park Hawker Centre 51 Yishun Ave 11","1.4250185","103.8421404"
"Yuhua Market & Hawker Centre 347 Jurong East Ave 1, Singapore 600347","1.3449985","103.7310327"
"Yuhua Village Market and Food Centre 254 Jurong East St 24, Singapore 600254","1.3437065","103.7378006"
"Zion Riverside Food Centre , 70 Zion Road","1.2924675","103.8313302"
